estado,inicio,varinicio,varfim,escreva,leia,se,entao,fim,fimse,inteiro,literal,real,num,lit,id,eof,opr,atr,opa,ab_p,fc_p,pt_v,vir,$,
0,S2,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,acc,
2, ,S4,,,,,,,,,,,,,,,,,,,,,,,
3,,,,S12,S13,S14,,S9,,,,,,,S10,,,,,,,,,,
4, ,,S17,,,,,,,S19,S20,S21,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,r2,
6, ,,,S12,S13,S14,,S9,,,,,,,S10,,,,,,,,,,
7,,,,S12,S13,S14,,S9,,,,,,,S10,,,,,,,,,,
8,,,,S12,S13,S14,,S9,,,,,,,S10,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,r32,
10,,,,,,,,,,,,,,,,,,S25,,,,,,,
11,,,,S12,S13,S14,,,S30,,,,,,S10,,,,,,,,,,
12,,,,,,,,,,,,,S34,S33,S32,,,,,,,,,,
13,,,,,,,,,,,,,,,S35,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,S36,,,,,
15,,,r3,r3,r3,,,r3,,,,,,,r3,,,,,,,,,,
16, ,,S17,,,,,,,S19,S20,S21,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,S38,,,
18,,,,,,,,,,,,,,,S40,,,,,,,,,,
19,,,,,,,,,,,,,,,r9,,,,,,,,,,
20,,,,,,,,,,,,,,,r11,,,,,,,,,,
21,,,,,,,,,,,,,,,r10,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,r18,
23,,,,,,,,,,,,,,,,,,,,,,,,r24,
24,,,,,,,,,,,,,,,,,,,,,,,,r12,
25,,,,,,,,,,,,,45,,43,,,,,,,,,,
26,,,,r25,r25,r25,,r25,r25,,,,,,r25,,,,,,,,,,
27,,,,S12,S13,S14,,,S30,,,,,,S10,,,,,,,,,,
28,,,,S12,S13,S14,,,S30,,,,,,S10,,,,,,,,,,
29,,,,S12,S13,S14,,,S30,,,,,,S10,,,,,,,,,,
30,,,,r31,r31,r31,,r31,r31,,,,,,r31,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,S48,,,
32,,,,,,,,,,,,,,,,,,,,,,r17,,,
33,,,,,,,,,,,,,,,,,,,,,,r15,,,
34,,,,,,,,,,,,,,,,,,,,,,r16,,,  
35,,,,,,,,,,,,,,,,,,,,,,S49,,, 
36,,,,,,,,,,,,,S44,,S43,,,,,,,,,,
37,,, ,r4,r4,r4,,r4,,,,,,,r4,,,,,,,,,,
38,,,,r5,r5,r5,,r5,,,,,,,r5,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,S52,,,
40,,,,,,,,,,,,,,,,,,,,,,r8,S53,,
41,,,,,,,,,,,,,,,,,,,,,,S54,,,
42,,,,,,,,,,,,,,,,,,,S55,,,r21,,,
43,,,,,,,,,,,,,,,,,r22,,r22,,r22,r22,,,
44,,,,,,,,,,,,,,,,,r23,,r23,,r23,r23,,,
45,,,,r29,r29,r29,,r29,r29,,,,,,r29,,,,,,,,,,
46,,,,r30,r30,r30,,r30,r30,,,,,,r30,,,,,,,,,,
47,,,,r28,r28,r28,,r28,r28,,,,,,r28,,,,,,,,,,
48,,,,r14,r14,r14,,r14,r14,,,,,,r14,,,,,,,,,,
49,,,,r13,r13,r13,,r13,r13,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,S56,,,,
51,,,,,,,,,,,,,,,,,S57,,,,,,,,
52,,,r6,,,,,,,r6,r6,r6,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,S40,,,,,, ,,S53,,
54,,,,r19,r19,r19,,r19,r19,,,,,,r19,,,,,,,,,,
55,,,,,,,,,,,,,S44,,S43,,,,,,,,,,
56,,,,,,,S62,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,S44,,S43,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,r7,,,
59,,,,,,,,,,,,,,,,,,,,,,r20,,,
60,,,,r26,r26,r26,,r26,r26,,,,,,r26,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,r27,,,,
